ID,age,C_job,C_dokki,C_education,C_default,balance,C_housing,C_loan,C_contact,Day,C_month,duration,campaign,pdays,previous,C_poutcome,flg
37726,55,6,2,2,0,785,1,0,1,14,5,47,1,370,2,0,0
41087,41,1,3,2,0,220,1,0,1,14,8,142,2,88,2,0,0
37572,44,8,3,2,0,130,1,0,1,14,5,263,1,371,1,0,0
37436,60,5,3,2,0,0,1,0,2,13,5,65,4,350,6,0,0
38681,38,5,2,2,0,341,0,0,1,15,5,136,3,346,2,0,0
39407,43,8,2,2,0,2145,0,0,1,22,5,271,1,183,3,0,1
37201,35,2,2,2,0,577,0,0,1,13,5,55,1,364,1,0,0
39578,58,6,2,2,0,2714,0,0,1,26,5,165,1,287,2,0,1
38443,41,1,3,2,0,2550,1,0,1,15,5,894,2,347,2,0,0
37855,46,2,2,2,0,130,1,0,1,14,5,106,1,349,1,0,0
38425,39,1,2,2,0,-650,0,0,1,15,5,123,2,364,1,0,0
38977,35,10,2,2,0,1092,0,0,1,18,5,132,1,360,1,0,0
40002,50,5,2,2,0,268,0,0,1,3,6,74,2,90,2,0,0
37756,37,10,3,2,0,5957,1,0,1,14,5,64,3,177,2,0,0
40086,35,2,2,2,0,563,0,1,1,4,6,147,1,119,3,0,1
37569,44,8,3,2,0,206,1,0,1,14,5,78,1,365,1,0,0
40076,26,10,2,2,0,523,0,0,1,4,6,221,1,126,1,0,0
37979,27,10,2,2,0,806,1,0,1,14,5,304,2,332,21,0,0
40673,53,1,3,2,0,0,1,1,1,6,8,1452,1,98,2,0,1
39947,35,10,3,2,0,2823,1,0,1,2,6,102,4,96,2,0,0
37877,35,2,3,2,0,336,1,0,1,14,5,191,1,346,2,0,1
38374,32,2,2,2,0,2,1,0,1,15,5,16,9,309,1,0,0
37424,37,2,2,2,0,-308,1,0,1,13,5,168,4,310,11,0,0
39496,30,1,2,2,0,1165,0,0,1,25,5,205,1,35,2,0,0
39969,42,2,2,2,0,2913,0,0,1,3,6,705,1,195,1,0,1
38632,35,2,3,2,0,1780,1,0,1,15,5,306,3,347,9,0,0
37598,37,8,3,2,0,241,1,0,1,14,5,189,1,371,1,0,0
38514,30,2,2,2,0,3,0,0,1,15,5,42,2,297,1,0,0
37684,35,1,2,2,0,3863,1,0,1,14,5,125,1,175,1,0,0
37312,37,4,3,2,0,1040,1,0,1,13,5,199,1,173,2,0,0
37430,42,2,2,2,0,-336,1,0,1,13,5,318,3,303,2,0,0
38207,37,2,3,2,0,-59,1,0,1,15,5,169,1,352,1,0,0
39132,44,1,3,2,0,777,1,0,1,18,5,517,3,350,2,0,0
38162,41,2,3,2,0,793,1,0,1,15,5,123,1,365,1,0,0
37649,36,1,3,2,0,869,1,0,1,14,5,102,1,350,1,0,0
